transaction_id,reason,flagged_date,amount
e5f02093-a153-4d30-bb96-aa4a173d176e,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,48929.36
fa7fa80f-7595-48ad-9fba-e10617ccd46f,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49057.47
04ce7b53-4291-4e4c-b30c-fb43ab7cacf8,Structuring band 9500–9999.99 SEK,2025-10-06,9593.38
0db931df-1bd6-4a6a-a3e3-f36a691db8ca,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49611.76
04dc1a68-c500-4ce9-9411-b7819883e5cd,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49598.43
62b23337-eaca-464c-a162-8c09eb5293ab,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49367.26
237614fc-eb4f-42c0-8575-3aa48cade57d,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49791.82
5c3baa6f-289f-481c-95e8-18957ce653a2,Ping-pong (retur inom 7d),2025-10-06,15614.07
2c80f524-f2df-4093-adca-bde4266a09c7,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49487.44
c9145faa-06fe-4ff4-b9ef-ac861fc91b80,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49095.44
1135708a-0e51-4eef-8b3a-f50dc4980df6,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49481.9
aa238f13-c4a5-4503-a98f-46df8e6b647e,Ping-pong (retur inom 7d),2025-10-06,9246.47
a7bb4020-3a5c-49a8-9adb-23b0ce5235bc,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49274.02
a7b511df-f4d0-4221-ac97-b5f68ad2e4e7,Structuring band 9500–9999.99 SEK,2025-10-06,9928.0
5bbb510d-8725-4a64-a71d-415fe3dd5588,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49315.94
5a8c3186-fb41-42a7-9a83-d346a53d4492,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49610.31
0a3fde8a-e7cf-4f49-b79a-1a1ddc62d06f,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49833.3
7ee1c800-65d3-4d86-8077-07c754d8464c,Ping-pong (retur inom 7d),2025-10-06,23421.03
c09c1729-95c1-4ca5-a9b1-ff2dfc47772b,Structuring band 9500–9999.99 SEK,2025-10-06,9927.63
02841b8a-4d11-4289-b565-9d75f9ecc083,Structuring band 9500–9999.99 SEK,2025-10-06,9870.1
826d7e26-ea85-4939-b565-98ef846f126f,Structuring band 9500–9999.99 SEK,2025-10-06,9795.76
1dd877ea-185c-4f6c-b3f4-668032000d9e,"High amount vs p98 (per valuta), High-value cross-border (strict), New counterparty (>14d) + high amount",2025-10-06,49040.75
49c53a55-5eb3-402b-a392-a65a115b990c,Ping-pong (retur inom 7d),2025-10-06,37725.74
23c476f5-b1b0-4d2d-be46-b7624f5ba5a7,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,48941.56
5b0b230e-baea-4cfc-9adb-c370baa3ecf9,Structuring band 9500–9999.99 SEK,2025-10-06,9607.9
d634c6e1-0537-4a84-a815-17cec9a47ead,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49084.51
6db5e4a3-d0df-4b51-8c55-eac9145d5b8e,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49517.08
7c3eea5b-6a27-4dee-83e8-1019474d7c85,Structuring band 9500–9999.99 SEK,2025-10-06,9992.55
a38cc951-c7db-44ba-8a4a-b3e2df407efa,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49851.71
55afa7cc-5c43-41d9-a4f0-0804fef795c5,Structuring band 9500–9999.99 SEK,2025-10-06,9754.31
33f27841-93b7-41dc-aec1-ff796d18fd6e,Ping-pong (retur inom 7d),2025-10-06,21287.34
ef455c9c-04a1-44dd-a55d-5e1450ca709b,Structuring band 9500–9999.99 SEK,2025-10-06,9961.95
2aedc6d0-322f-4d2f-84ae-0b5a409ee7fb,Structuring band 9500–9999.99 SEK,2025-10-06,9630.4
18a46385-c4a8-4067-94c1-cefa868bedc2,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49226.82
7bf58300-1b40-4412-8071-7faeda296dbd,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49933.17
43028e8c-31f5-40f2-87ea-53ecacb06efb,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49186.59
627d26c6-712c-4e8f-aacf-a38169b5e4ea,Structuring band 9500–9999.99 SEK,2025-10-06,9663.3
117456f7-fdd2-41dd-8542-4c083b1f970b,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49195.28
ef4aa7d7-d9a7-4ec0-b2b1-60710ef4c4bf,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49750.44
82888b42-39ee-46c3-abe5-626984134f31,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49307.19
921e8a87-42d2-47ee-b394-7bdfaf2db29b,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49147.21
120f51bd-22b4-4914-92f9-3d1a3dec77e5,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,48991.55
3e8720cd-6cb0-4b32-b5c2-e322db7c5f8f,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49071.73
446c8e85-4f92-4c43-8480-9aa063ce292b,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49062.79
c02be631-14f6-480c-9ee5-afd328a749e0,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49958.23
51a87f55-2984-4ffc-8fbe-5dd8b5bf0e22,Structuring band 9500–9999.99 SEK,2025-10-06,9785.45
f6b10d88-0ae2-4ca4-9ab6-d98f598e11ad,Structuring band 9500–9999.99 SEK,2025-10-06,9584.76
66243e7f-1eb7-49ec-82c7-c910cdae449e,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49218.41
65dc94ce-9134-425c-b000-7bcb137d733e,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49024.39
da4bb05f-d2b0-4983-861c-5190da87dedd,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49377.11
505c01f1-506c-44a2-b8a3-d923a7cb2ebc,Structuring band 9500–9999.99 SEK,2025-10-06,9754.32
88b6904f-2b5c-455f-85b6-30a6d7a9f9dc,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49850.07
30ee503b-1997-4ee5-b831-d731618f516e,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49396.07
63f982fa-50df-4498-bf19-b9f0d654d623,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49982.35
475baf63-df93-478f-b466-b44cd2ed259d,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49467.64
2a76068f-503d-4db5-bbad-54a4f5f50678,Structuring band 9500–9999.99 SEK,2025-10-06,9619.38
58d52cdf-66c2-4b80-bd8f-b68845e7380d,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49792.27
1c224e22-99e0-4211-9ce0-331fd26e626b,Structuring band 9500–9999.99 SEK,2025-10-06,9956.37
7b7b5cc8-3e7c-4bfb-916d-c9c2383ac813,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49869.46
65c897c4-baeb-441f-b065-539db048911a,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49799.09
4570cd78-c1de-4281-a8e3-84577678f5df,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49591.89
91acd923-7ed2-4b33-9c52-006ab4775611,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49867.88
22d581e6-bfa4-4aba-a1c4-e96313a0ef26,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49153.05
b2decf39-faeb-4398-9b85-2d39839f712a,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49858.09
92c498fc-c2d7-427f-9d8d-805752a22c68,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49980.21
10614b41-172e-414b-8564-e132bf3ce2f8,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49710.09
605c5fc5-7736-4ed2-9546-08f1c6eab44c,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49046.86
2ef22b78-8407-4f8f-a013-7773bd84fd64,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49430.55
308e36ef-2d4e-427f-bb4f-a71e5b1a10a6,Structuring band 9500–9999.99 SEK,2025-10-06,9897.16
01beae82-19ef-485b-ab38-5c4530f83af6,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49750.68
b7f80ba6-3739-4c5a-a69a-f139e2eaa025,Structuring band 9500–9999.99 SEK,2025-10-06,9697.35
de4da405-cdb9-4509-b2b7-547df6ca8f28,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49114.55
1c0edb8e-28d8-4be8-a177-15778d0250f1,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49897.54
ebd06bca-5541-46a1-b7c9-a21ea1c71c1d,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49598.6
38a4589d-5b82-4f46-bb7f-34b6aa1fc248,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49997.45
65946435-bd16-48c3-990b-0f1fcc68b3e7,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49350.11
677cf434-09e2-4831-901c-09ad3bd87cba,Structuring band 9500–9999.99 SEK,2025-10-06,9720.8
b4d9356d-b7ef-457e-b8b5-9546fe3952e6,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49400.16
1d7f6ca9-d06f-46aa-ae68-222b5f169749,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,48984.77
686ec484-b2c5-4491-8581-b5d48fe71917,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49849.91
ce52536f-c274-45bd-b55f-67b70b123f55,Structuring band 9500–9999.99 SEK,2025-10-06,9848.88
66f89581-0113-412d-8928-75cb9b369223,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49440.81
fd162b90-4f83-4876-ae44-f6e3b9f2ed68,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49763.86
3e8087c0-ba0f-405c-90a7-ea6d27d7ead6,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49038.09
171c0aa8-bfdd-4b78-8df1-283c5ff23e06,Structuring band 9500–9999.99 SEK,2025-10-06,9527.94
d22d02ae-de55-4614-866a-b76b3a753988,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,49514.39
09763dfa-21a7-4e7a-9cc6-de78c15863fa,"High amount vs p98 (per valuta), New counterparty (>14d) + high amount",2025-10-06,48988.07
